Год	Китай	Германия	Соединенные Штаты Америки	Канада	Италия	Российская Федерация	Объединенные Арабские Эмираты	Франция	Нидерланды	Норвегия	Остальные
2010	14530901	13651578	10625016	8921048	5837989	6668975		5025360	4031972	4569603	66979472
2011	18648585	17751770	12975642	9921832	6901840	7739851		5743044	4827244	5146973	78148787
2012	18641304	15559977	12783556	8581160	6075721	7262288	2073736	5107665	4063441	4346745	72628585
2013	20039265	16212864	13053200	8484944	6366851	7124584	2153918	5264830	4018382	3962678	74697512
2014	22615470	16966653	12736128	8851104	6545213	6325357	4240782	5516837	4886559	4221970	79494731
2015	23819933	15540960	12046082	8231772	5788956	6880992	5290379	4965157	4235328	3520832	72420906
2016	21315169	15164438	12237317	8083824	5745272	5980102	5081904	4872166	4343742	3208307	68404150
2017	22642422	16425780	11588064	9820037	6423563	6673318	6206409	5355898	4847112	4000372	78437593
2018	27077282	17736745	12583681	10007662	7181224	6555519	6379975	5742248	5488788	4189351	90002361
2019	26077777	16485729	10933314	8321419	6551128	5839023	5539326	5216892	4683363	3680179	83204061
2020	24589848	14739713	9380978	8347719	6216725	5463661	4446737	4519895	4276464	3326807	80378228
2021	34711889	18908307	12033895	12183218	8108526	8667438	8149499	6200648	6648746	5213780	118694430
2022	42109007	21417103	14511112	14143463	9546412	10295655	8279400	6943110	7857010	6436606	138248766
2023	34977730	19620604	14277975	12606120	8692176	8346465	7627237	6502994	6438215	4844402	115816822
